C0263,Day,Time,,Services,FullTime,PartTime,Capacity
C0263,Monday,6:00 AM - 5:30 PM,,Infant 1,25,21,6 Children
C0263,Tuesday,6:00 AM - 5:30 PM,,Toddler 1,25,21,CCCAP Subsidy
C0263,Wednesday,6:00 AM - 5:30 PM,,Toddler 2,25,21,No
C0263,Thursday,6:00 AM - 5:30 PM,,Preschool 1,25,21,Acceditations
C0263,Friday,6:00 AM - 5:30 PM,,Preschool 2,25,21,No
C0263,Saturday,No Information Available,,Preschool 3,25,21,Food Permit
C0263,Sunday,No Information Available,,School Age 1,25,21,No Information Available
C0263,,,,School Age 2,25,21,Transportation
C0263,,,,,,,No
C0263,,,,,,,
C0263,,,,,,,
,,,,,,,
,,,,,,,
C0289,Day,Time,,Services,FullTime,PartTime,Capacity
C0289,Monday,6:00 AM - 5:30 PM,,Infant 1,30,,6 Children
C0289,Tuesday,6:00 AM - 5:30 PM,,Toddler 1,30,,CCCAP Subsidy
C0289,Wednesday,6:00 AM - 5:30 PM,,Toddler 2,30,,Accepted
C0289,Thursday,6:00 AM - 5:30 PM,,Preschool 1,25,,Acceditations
C0289,Friday,6:00 AM - 5:30 PM,,Preschool 2,25,,No
C0289,Saturday,No Information Available,,Preschool 3,25,,Food Permit
C0289,Sunday,No Information Available,,School Age 1,25,,No Information Available
C0289,,,,School Age 2,25,,Transportation
C0289,,,,School Age 3,25,,No
C0289,,,,,,,
C0289,,,,,,,
,,,,,,,
,,,,,,,
C0467,Day,Time,,No Information Available,,Capacity,
C0467,Monday,7:30 AM - 5:00 PM,,,,6 Children,
C0467,Tuesday,7:30 AM - 5:00 PM,,,,CCCAP Subsidy,
C0467,Wednesday,7:30 AM - 5:00 PM,,,,No,
C0467,Thursday,7:30 AM - 5:00 PM,,,,Acceditations,
C0467,Friday,No Information Available,,,,No,
C0467,Saturday,No Information Available,,,,Food Permit,
C0467,Sunday,No Information Available,,,,No Information Available,
C0467,,,,,,Transportation,
C0467,,,,,,No,
C0467,,,,,,,
C0467,,,,,,,
,,,,,,,
,,,,,,,
C3239,Day,Time,,No Information Available,,Capacity,
C3239,Monday,7:45 AM - 5:30 PM,,,,6 Children,
C3239,Tuesday,7:45 AM - 5:30 PM,,,,CCCAP Subsidy,
C3239,Wednesday,7:45 AM - 5:30 PM,,,,No,
C3239,Thursday,7:45 AM - 5:30 PM,,,,Acceditations,
C3239,Friday,No Information Available,,,,No Information Available,
C3239,Saturday,No Information Available,,,,Food Permit,
C3239,Sunday,No Information Available,,,,No Information Available,
C3239,,,,,,Transportation,
C3239,,,,,,No,
C3239,,,,,,,
C3239,,,,,,,
,,,,,,,
,,,,,,,
C3263,Day,Time,,No Information Available,,Capacity,
C3263,Monday,7:00 AM - 5:30 PM,,,,6 Children,
C3263,Tuesday,7:00 AM - 5:30 PM,,,,CCCAP Subsidy,
C3263,Wednesday,7:00 AM - 5:30 PM,,,,No,
C3263,Thursday,7:00 AM - 5:30 PM,,,,Acceditations,
C3263,Friday,7:00 AM - 5:30 PM,,,,No,
C3263,Saturday,No Information Available,,,,Food Permit,
C3263,Sunday,No Information Available,,,,No Information Available,
C3263,,,,,,Transportation,
C3263,,,,,,No,
C3263,,,,,,,
C3263,,,,,,,
,,,,,,,
,,,,,,,
C3670,Day,Time,,,,,6 Children
C3670,Monday,7:45 AM - 5:30 PM,,Services,FullTime,PartTime,CCCAP Subsidy
C3670,Tuesday,7:45 AM - 5:30 PM,,Toddler 1,21,,No
C3670,Wednesday,7:45 AM - 5:30 PM,,Toddler 2,21,,Acceditations
C3670,Thursday,7:45 AM - 5:30 PM,,Preschool 1,21,,No
C3670,Friday,7:45 AM - 5:30 PM,,Preschool 2,21,,Food Permit
C3670,Saturday,No Information Available,,Preschool 3,21,,No Information Available
C3670,Sunday,No Information Available,,School Age 1,21,,Transportation
C3670,,,,School Age 2,21,,No
C3670,,,,,,,
C3670,,,,,,,
C3670,,,,,,,
,,,,,,,
,,,,,,,
C3808,Monday,7:00 AM - 5:30 PM,,No Information Available,,Capacity,
C3808,Tuesday,7:00 AM - 5:30 PM,,,,6 Children,
C3808,Wednesday,7:00 AM - 5:30 PM,,,,CCCAP Subsidy,
C3808,Thursday,7:00 AM - 5:30 PM,,,,No,
C3808,Friday,7:00 AM - 5:30 PM,,,,Acceditations,
C3808,Saturday,No Information Available,,,,No Information Available,
C3808,Sunday,No Information Available,,,,Food Permit,
C3808,,,,,,No Information Available,
C3808,,,,,,Transportation,
C3808,,,,,,No,
C3808,,,,,,,
C3808,,,,,,,
,,,,,,,
,,,,,,,
C3933,Monday,6:30 AM - 5:00 PM,,No Information Available,,6 Children,
C3933,Tuesday,6:30 AM - 5:00 PM,,,,CCCAP Subsidy,
C3933,Wednesday,6:30 AM - 5:00 PM,,,,No,
C3933,Thursday,6:30 AM - 5:00 PM,,,,Acceditations,
C3933,Friday,6:30 AM - 5:00 PM,,,,No Information Available,
C3933,Saturday,No Information Available,,,,Food Permit,
C3933,Sunday,No Information Available,,,,No Information Available,
C3933,,,,,,Transportation,
C3933,,,,,,No,
C3933,,,,,,,
C3933,,,,,,,
C3933,,,,,,,
,,,,,,,
,,,,,,,
C52613,Monday,6:40 AM - 4:30 PM,,No Information Available,,6 Children,
C52613,Tuesday,6:40 AM - 4:30 PM,,,,CCCAP Subsidy,
C52613,Wednesday,6:40 AM - 4:30 PM,,,,No,
C52613,Thursday,6:40 AM - 4:30 PM,,,,Acceditations,
C52613,Friday,6:40 AM - 4:30 PM,,,,No Information Available,
C52613,Saturday,No Information Available,,,,Food Permit,
C52613,Sunday,No Information Available,,,,No Information Available,
C52613,,,,,,Transportation,
C52613,,,,,,No,
C52613,,,,,,,
C52613,,,,,,,
C52613,,,,,,,
,,,,,,,
,,,,,,,
C5269,Day,Time,,Services,FullTime,PartTime,Capacity
C5269,Monday,6:00 AM - 6:00 AM,,Infant 1,25,18,6 Children
C5269,Tuesday,6:00 AM - 6:00 AM,,Toddler 1,25,18,CCCAP Subsidy
C5269,Wednesday,6:00 AM - 6:00 AM,,Toddler 2,25,18,Accepted
C5269,Thursday,6:00 AM - 6:00 AM,,Preschool 1,24,17,Acceditations
C5269,Friday,6:00 AM - 6:00 AM,,Preschool 2,24,17,No
C5269,Saturday,6:00 AM - 6:00 AM,,Preschool 3,24,17,Food Permit
C5269,Sunday,6:00 AM - 6:00 AM,,School Age 1,20,14,No Information Available
C5269,,,,School Age 2,20,14,Transportation
C5269,,,,School Age 3,20,14,No
C5269,,,,,,,
C5269,,,,,,,
,,,,,,,
,,,,,,,
C52772,Day,Time,,Services,FullTime,PartTime,Capacity
C52772,Monday,6:00 AM - 9:30 PM,,Infant 1,28,25,6 Children
C52772,Tuesday,6:00 AM - 9:30 PM,,Toddler 1,28,25,CCCAP Subsidy
C52772,Wednesday,6:00 AM - 9:30 PM,,Toddler 2,28,25,Accepted
C52772,Thursday,6:00 AM - 9:30 PM,,Preschool 1,25,22,Acceditations
C52772,Friday,6:00 AM - 9:30 PM,,Preschool 2,25,22,No
C52772,Saturday,No Information Available,,Preschool 3,25,22,Food Permit
C52772,Sunday,No Information Available,,School Age 1,22,22,No Information Available
C52772,,,,School Age 2,19,19,Transportation
C52772,,,,,,,No
C52772,,,,,,,
C52772,,,,,,,
,,,,,,,
,,,,,,,
C52815,Day,Time,,Services,FullTime,PartTime,Capacity
C52815,Monday,6:00 AM - 11:00 PM,,Infant 1,35,30,6 Children
